[2024-12-12 05:27:20,682][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpw53e3w0r/huggingface.sqlite'
[2024-12-12 05:27:20,890][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpw53e3w0r/huggingface.sqlite'
[2024-12-12 05:27:21,099][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpw53e3w0r/huggingface.sqlite'
[2024-12-12 05:27:21,304][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpw53e3w0r/huggingface.sqlite'
[2024-12-12 05:27:21,512][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpw53e3w0r/huggingface.sqlite'
[2024-12-12 05:27:21,716][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpw53e3w0r/huggingface.sqlite'
[2024-12-12 05:27:21,924][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpw53e3w0r/huggingface.sqlite'
[2024-12-12 05:27:22,129][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpw53e3w0r/huggingface.sqlite'
[2024-12-12 05:27:22,336][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpw53e3w0r/huggingface.sqlite'
[2024-12-12 05:27:22,544][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpw53e3w0r/huggingface.sqlite'
[2024-12-12 05:27:22,752][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpw53e3w0r/huggingface.sqlite'
[2024-12-12 05:27:22,956][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpw53e3w0r/huggingface.sqlite'
[2024-12-12 05:27:23,164][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpw53e3w0r/huggingface.sqlite'
[2024-12-12 05:27:23,369][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpw53e3w0r/huggingface.sqlite'
[2024-12-12 05:27:23,576][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpw53e3w0r/huggingface.sqlite'
[2024-12-12 05:27:23,781][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpw53e3w0r/huggingface.sqlite'
[2024-12-12 05:27:23,980][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpw53e3w0r/huggingface.sqlite'
[2024-12-12 05:27:24,189][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpw53e3w0r/huggingface.sqlite'
[2024-12-12 05:27:24,394][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpw53e3w0r/huggingface.sqlite'
[2024-12-12 05:27:24,599][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpw53e3w0r/huggingface.sqlite'
[2024-12-12 05:27:24,804][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpw53e3w0r/huggingface.sqlite'
[2024-12-12 05:27:25,012][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpw53e3w0r/huggingface.sqlite'
