[2024-12-12 09:24:25,427][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:25,428][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:25,429][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:25,430][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:25,431][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:25,433][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:25,434][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:25,435][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:25,437][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:25,438][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:25,440][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:25,441][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:25,443][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:25,444][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:25,445][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:25,447][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:25,448][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:25,449][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:25,450][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:25,452][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:25,453][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:25,454][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:25,455][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:25,457][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:25,458][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:25,459][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:25,460][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:25,461][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:25,463][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:25,464][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:25,465][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:25,466][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:25,468][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:25,469][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:25,470][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:25,471][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:25,472][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:25,474][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:25,475][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:25,476][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:25,477][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:25,478][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:25,480][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:25,481][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:25,482][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:25,483][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:25,484][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:25,486][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:25,488][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:27,816][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:27,817][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:27,819][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
[2024-12-12 09:24:27,820][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmppi605x24/huggingface.sqlite'
