[2024-12-12 09:18:47,355][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:47,356][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:47,357][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:47,359][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:47,360][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:47,361][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:47,362][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:47,363][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:47,365][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:47,366][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:47,367][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:47,368][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:47,369][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:47,371][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:47,372][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:47,373][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:47,374][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:47,376][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:47,377][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:47,378][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:47,379][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:47,380][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:47,381][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:47,383][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:47,384][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:47,385][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:47,387][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:47,388][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:47,389][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:47,390][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:47,391][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:47,393][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:47,394][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:47,395][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:47,396][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:47,397][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:47,398][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:47,399][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:47,401][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:47,402][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:47,403][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:47,404][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:47,405][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:47,406][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:47,408][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:47,409][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:47,410][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:47,412][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:47,413][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:47,414][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:47,415][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:47,416][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:47,417][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:47,419][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:47,420][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:47,421][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:47,422][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:47,424][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:47,425][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:47,426][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:47,427][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:47,428][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:47,430][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:47,431][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:47,432][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:47,433][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:47,434][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:47,436][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:47,437][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:47,438][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:47,439][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:47,440][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:47,441][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:47,443][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:47,444][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:47,445][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:47,446][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:47,448][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:47,449][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:47,450][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:47,451][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:47,452][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
[2024-12-12 09:18:47,453][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpz2crtyew/huggingface.sqlite'
