[2024-12-11 21:33:06,761][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp5fmjy9v9/huggingface.sqlite'
[2024-12-11 21:33:07,260][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp5fmjy9v9/huggingface.sqlite'
[2024-12-11 21:33:07,971][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp5fmjy9v9/huggingface.sqlite'
[2024-12-11 21:33:08,683][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp5fmjy9v9/huggingface.sqlite'
[2024-12-11 21:33:08,830][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp5fmjy9v9/huggingface.sqlite'
[2024-12-11 21:33:09,541][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp5fmjy9v9/huggingface.sqlite'
[2024-12-11 21:33:10,255][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp5fmjy9v9/huggingface.sqlite'
[2024-12-11 21:33:10,968][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp5fmjy9v9/huggingface.sqlite'
[2024-12-11 21:33:11,681][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp5fmjy9v9/huggingface.sqlite'
[2024-12-11 21:33:12,395][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp5fmjy9v9/huggingface.sqlite'
[2024-12-11 21:33:13,107][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp5fmjy9v9/huggingface.sqlite'
[2024-12-11 21:33:13,253][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp5fmjy9v9/huggingface.sqlite'
[2024-12-11 21:33:13,398][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp5fmjy9v9/huggingface.sqlite'
[2024-12-11 21:33:13,897][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp5fmjy9v9/huggingface.sqlite'
[2024-12-11 21:33:14,611][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp5fmjy9v9/huggingface.sqlite'
[2024-12-11 21:33:14,759][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp5fmjy9v9/huggingface.sqlite'
[2024-12-11 21:33:14,906][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp5fmjy9v9/huggingface.sqlite'
[2024-12-11 21:33:15,620][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp5fmjy9v9/huggingface.sqlite'
[2024-12-11 21:33:16,332][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp5fmjy9v9/huggingface.sqlite'
[2024-12-11 21:33:17,045][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp5fmjy9v9/huggingface.sqlite'
[2024-12-11 21:33:17,758][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp5fmjy9v9/huggingface.sqlite'
[2024-12-11 21:33:18,469][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp5fmjy9v9/huggingface.sqlite'
[2024-12-11 21:33:19,181][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmp5fmjy9v9/huggingface.sqlite'
