[2024-12-11 18:18:45,135][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:45,387][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:45,602][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:45,816][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:46,037][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:46,253][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:46,470][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:46,688][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:46,909][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:47,125][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:47,339][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:47,553][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:47,771][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:47,988][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:48,203][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:48,421][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:48,637][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:48,851][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:49,071][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:49,287][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
[2024-12-11 18:18:49,507][sqlitedict][INFO] - opening Sqlite table 'unnamed' in './.cache/tmpi4mg4619/huggingface.sqlite'
